"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"BA";"JITAÚNA";"Presidente";"2";"Não eleito";"3173";"0";"8340";"38,05"
"BA";"JOÃO DOURADO";"Presidente";"2";"Não eleito";"3515";"0";"11845";"29,67"
"BA";"JUAZEIRO";"Presidente";"2";"Não eleito";"27212";"0";"107823";"25,24"
"BA";"JUCURUÇU";"Presidente";"2";"Não eleito";"1079";"0";"5039";"21,41"
"BA";"JUSSARA";"Presidente";"2";"Não eleito";"943";"0";"8252";"11,43"
"BA";"JUSSARI";"Presidente";"2";"Não eleito";"1102";"0";"3188";"34,57"
"BA";"JUSSIAPE";"Presidente";"2";"Não eleito";"1147";"0";"4557";"25,17"
"BA";"LAFAIETE COUTINHO";"Presidente";"2";"Não eleito";"414";"0";"2631";"15,74"
"BA";"LAGOA REAL";"Presidente";"2";"Não eleito";"1280";"0";"7172";"17,85"
"BA";"LAJE";"Presidente";"2";"Não eleito";"4509";"0";"13060";"34,53"
"BA";"LAJEDÃO";"Presidente";"2";"Não eleito";"949";"0";"2986";"31,78"
"BA";"LAJEDINHO";"Presidente";"2";"Não eleito";"303";"0";"2143";"14,14"
"BA";"LAJEDO DO TABOCAL";"Presidente";"2";"Não eleito";"719";"0";"3946";"18,22"
"BA";"LAMARÃO";"Presidente";"2";"Não eleito";"661";"0";"4348";"15,2"
"BA";"LAPÃO";"Presidente";"2";"Não eleito";"2690";"0";"14728";"18,26"
"BA";"LAURO DE FREITAS";"Presidente";"2";"Não eleito";"24317";"0";"81913";"29,69"
"BA";"LENÇÓIS";"Presidente";"2";"Não eleito";"808";"0";"4522";"17,87"
"BA";"LICÍNIO DE ALMEIDA";"Presidente";"2";"Não eleito";"1747";"0";"6704";"26,06"
"BA";"LIVRAMENTO DE NOSSA SENHORA";"Presidente";"2";"Não eleito";"5059";"0";"22987";"22,01"
"BA";"LUÍS EDUARDO MAGALHÃES";"Presidente";"2";"Não eleito";"16078";"0";"29406";"54,68"
"BA";"MACAJUBA";"Presidente";"2";"Não eleito";"1721";"0";"5702";"30,18"
"BA";"MACARANI";"Presidente";"2";"Não eleito";"3830";"0";"8508";"45,02"
"BA";"MACAÚBAS";"Presidente";"2";"Não eleito";"5915";"0";"21692";"27,27"
"BA";"MACURURÉ";"Presidente";"2";"Não eleito";"987";"0";"4384";"22,51"
"BA";"MADRE DE DEUS";"Presidente";"2";"Não eleito";"3000";"0";"10162";"29,52"
"BA";"MAETINGA";"Presidente";"2";"Não eleito";"1333";"0";"3941";"33,82"
"BA";"MAIQUINIQUE";"Presidente";"2";"Não eleito";"1881";"0";"4798";"39,2"
"BA";"MAIRI";"Presidente";"2";"Não eleito";"2308";"0";"9203";"25,08"
"BA";"MALHADA";"Presidente";"2";"Não eleito";"2220";"0";"8651";"25,66"
"BA";"MALHADA DE PEDRAS";"Presidente";"2";"Não eleito";"1566";"0";"5175";"30,26"
"BA";"MANOEL VITORINO";"Presidente";"2";"Não eleito";"1397";"0";"7766";"17,99"
"BA";"MANSIDÃO";"Presidente";"2";"Não eleito";"640";"0";"5350";"11,96"
"BA";"MARACÁS";"Presidente";"2";"Não eleito";"5040";"0";"12765";"39,48"
"BA";"MARAGOGIPE";"Presidente";"2";"Não eleito";"5141";"0";"24074";"21,35"
"BA";"MARAÚ";"Presidente";"2";"Não eleito";"1576";"0";"7683";"20,51"
"BA";"MARCIONÍLIO SOUZA";"Presidente";"2";"Não eleito";"958";"0";"4813";"19,9"
"BA";"MASCOTE";"Presidente";"2";"Não eleito";"1789";"0";"5614";"31,87"
"BA";"MATA DE SÃO JOÃO";"Presidente";"2";"Não eleito";"6937";"0";"24226";"28,63"
"BA";"MATINA";"Presidente";"2";"Não eleito";"678";"0";"6063";"11,18"
"BA";"MEDEIROS NETO";"Presidente";"2";"Não eleito";"4660";"0";"12203";"38,19"
"BA";"MIGUEL CALMON";"Presidente";"2";"Não eleito";"3424";"0";"13706";"24,98"
"BA";"MILAGRES";"Presidente";"2";"Não eleito";"1752";"0";"6097";"28,74"
"BA";"MIRANGABA";"Presidente";"2";"Não eleito";"1704";"0";"7800";"21,85"
"BA";"MIRANTE";"Presidente";"2";"Não eleito";"1334";"0";"4821";"27,67"
"BA";"MONTE SANTO";"Presidente";"2";"Não eleito";"3279";"0";"27407";"11,96"
"BA";"MORPARÁ";"Presidente";"2";"Não eleito";"1175";"0";"4806";"24,45"
"BA";"MORRO DO CHAPÉU";"Presidente";"2";"Não eleito";"3575";"0";"16092";"22,22"
"BA";"MORTUGABA";"Presidente";"2";"Não eleito";"2671";"0";"6381";"41,86"
"BA";"MUCUGÊ";"Presidente";"2";"Não eleito";"2385";"0";"6072";"39,28"
"BA";"MUCURI";"Presidente";"2";"Não eleito";"6206";"0";"16365";"37,92"
"BA";"MULUNGU DO MORRO";"Presidente";"2";"Não eleito";"983";"0";"6297";"15,61"
"BA";"MUNDO NOVO";"Presidente";"2";"Não eleito";"2222";"0";"9923";"22,39"
"BA";"MUNIZ FERREIRA";"Presidente";"2";"Não eleito";"1249";"0";"5097";"24,5"
"BA";"MUQUÉM DO SÃO FRANCISCO";"Presidente";"2";"Não eleito";"1646";"0";"5876";"28,01"
"BA";"MURITIBA";"Presidente";"2";"Não eleito";"3376";"0";"14584";"23,15"
"BA";"MUTUÍPE";"Presidente";"2";"Não eleito";"5163";"0";"11800";"43,75"
"BA";"NAZARÉ";"Presidente";"2";"Não eleito";"3097";"0";"15185";"20,4"
"BA";"NILO PEÇANHA";"Presidente";"2";"Não eleito";"1601";"0";"5711";"28,03"
"BA";"NORDESTINA";"Presidente";"2";"Não eleito";"1044";"0";"6127";"17,04"
"BA";"NOVA CANAÃ";"Presidente";"2";"Não eleito";"1718";"0";"8136";"21,12"
