"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"AL";"PAULO JACINTO";"28";"6.042";""
"";"AL";"PENEDO";"13";"40.831";""
"";"AL";"PIAÇABUÇU";"13";"13.059";""
"";"AL";"PILAR";"8";"25.646";""
"";"AL";"PINDOBA";"5";"2.483";""
"";"AL";"PIRANHAS";"40";"17.748";""
"";"AL";"POÇO DAS TRINCHEIRAS";"50";"9.794";""
"";"AL";"PORTO CALVO";"14";"20.091";""
"";"AL";"PORTO DE PEDRAS";"12";"6.565";""
"";"AL";"PORTO REAL DO COLÉGIO";"37";"14.812";""
"";"AL";"QUEBRANGULO";"28";"9.795";""
"";"AL";"RIO LARGO";"15";"54.500";""
"";"AL";"ROTEIRO";"18";"4.998";""
"";"AL";"SANTA LUZIA DO NORTE";"8";"5.783";""
"";"AL";"SANTANA DO IPANEMA";"19";"30.745";""
"";"AL";"SANTANA DO MUNDAÚ";"21";"8.346";""
"";"AL";"SÃO BRÁS";"37";"5.907";""
"";"AL";"SÃO JOSÉ DA LAJE";"16";"16.688";""
"";"AL";"SÃO JOSÉ DA TAPERA";"51";"20.495";""
"";"AL";"SÃO LUÍS DO QUITUNDE";"17";"21.863";""
"";"AL";"SÃO MIGUEL DOS CAMPOS";"18";"38.995";""
"";"AL";"SÃO MIGUEL DOS MILAGRES";"12";"6.446";""
"";"AL";"SÃO SEBASTIÃO";"49";"24.362";""
"";"AL";"SATUBA";"8";"9.877";""
"";"AL";"SENADOR RUI PALMEIRA";"51";"8.832";""
"";"AL";"TANQUE D'ARCA";"48";"5.220";""
"";"AL";"TAQUARANA";"45";"13.438";""
"";"AL";"TEOTÔNIO VILELA";"34";"29.112";""
"";"AL";"TRAIPU";"20";"17.199";""
"";"AL";"UNIÃO DOS PALMARES";"21";"44.402";""
"";"AL";"VIÇOSA";"5";"19.635";""
"";"AM";"ALVARÃES";"60";"9.770";""
"";"AM";"AMATURÁ";"22";"5.910";""
"";"AM";"ANAMÃ";"6";"7.452";""
"";"AM";"ANORI";"33";"9.724";""
"";"AM";"APUÍ";"67";"10.674";""
"";"AM";"ATALAIA DO NORTE";"42";"7.930";""
"";"AM";"AUTAZES";"35";"25.296";""
"";"AM";"BARCELOS";"18";"10.506";""
"";"AM";"BARREIRINHA";"26";"18.318";""
"";"AM";"BENJAMIN CONSTANT";"20";"20.448";""
"";"AM";"BERURI";"54";"11.755";""
"";"AM";"BOA VISTA DO RAMOS";"5";"10.837";""
"";"AM";"BOCA DO ACRE";"14";"20.977";""
"";"AM";"BORBA";"15";"20.306";""
