"UF";"Município";"Cargo";"Turno";"Situação totalização";"Votos nominais";"Votos em trânsito";"Votos válidos";"% votos válidos"
"BA";"SANTANA";"Presidente";"2";"Eleito";"9893";"0";"13991";"70,71"
"BA";"SANTANÓPOLIS";"Presidente";"2";"Eleito";"4797";"0";"5817";"82,47"
"BA";"SANTO AMARO";"Presidente";"2";"Eleito";"26515";"0";"33011";"80,32"
"BA";"SANTO ANTÔNIO DE JESUS";"Presidente";"2";"Eleito";"30984";"0";"46522";"66,6"
"BA";"SANTO ESTEVÃO";"Presidente";"2";"Eleito";"18820";"0";"24401";"77,13"
"BA";"SÃO DESIDÉRIO";"Presidente";"2";"Eleito";"10742";"0";"14553";"73,81"
"BA";"SÃO DOMINGOS";"Presidente";"2";"Eleito";"3548";"0";"5127";"69,2"
"BA";"SÃO FELIPE";"Presidente";"2";"Eleito";"7560";"0";"11925";"63,4"
"BA";"SÃO FÉLIX";"Presidente";"2";"Eleito";"5902";"0";"7478";"78,92"
"BA";"SÃO FÉLIX DO CORIBE";"Presidente";"2";"Eleito";"4984";"0";"7711";"64,63"
"BA";"SÃO FRANCISCO DO CONDE";"Presidente";"2";"Eleito";"17181";"0";"22244";"77,24"
"BA";"SÃO GABRIEL";"Presidente";"2";"Eleito";"10080";"0";"11285";"89,32"
"BA";"SÃO GONÇALO DOS CAMPOS";"Presidente";"2";"Eleito";"15386";"0";"18977";"81,08"
"BA";"SÃO JOSÉ DA VITÓRIA";"Presidente";"2";"Eleito";"2084";"0";"3318";"62,81"
"BA";"SÃO JOSÉ DO JACUÍPE";"Presidente";"2";"Eleito";"3823";"0";"5127";"74,57"
"BA";"SÃO MIGUEL DAS MATAS";"Presidente";"2";"Eleito";"4312";"0";"6279";"68,67"
"BA";"SÃO SEBASTIÃO DO PASSÉ";"Presidente";"2";"Eleito";"19948";"0";"23747";"84"
"BA";"SAPEAÇU";"Presidente";"2";"Eleito";"7694";"0";"10338";"74,42"
"BA";"SÁTIRO DIAS";"Presidente";"2";"Eleito";"5675";"0";"7977";"71,14"
"BA";"SAUBARA";"Presidente";"2";"Eleito";"6251";"0";"7493";"83,42"
"BA";"SAÚDE";"Presidente";"2";"Eleito";"4165";"0";"5581";"74,63"
"BA";"SEABRA";"Presidente";"2";"Eleito";"17835";"0";"21878";"81,52"
"BA";"SEBASTIÃO LARANJEIRAS";"Presidente";"2";"Eleito";"3827";"0";"4698";"81,46"
"BA";"SENHOR DO BONFIM";"Presidente";"2";"Eleito";"23533";"0";"35440";"66,4"
"BA";"SENTO SÉ";"Presidente";"2";"Eleito";"13623";"0";"18052";"75,47"
"BA";"SERRA DO RAMALHO";"Presidente";"2";"Eleito";"12661";"0";"14953";"84,67"
"BA";"SERRA DOURADA";"Presidente";"2";"Eleito";"6512";"0";"10113";"64,39"
"BA";"SERRA PRETA";"Presidente";"2";"Eleito";"9050";"0";"10902";"83,01"
"BA";"SERRINHA";"Presidente";"2";"Eleito";"30551";"0";"40932";"74,64"
"BA";"SERROLÂNDIA";"Presidente";"2";"Eleito";"4437";"0";"6498";"68,28"
"BA";"SIMÕES FILHO";"Presidente";"2";"Eleito";"46045";"0";"57210";"80,48"
"BA";"SÍTIO DO MATO";"Presidente";"2";"Eleito";"5501";"0";"6329";"86,92"
"BA";"SÍTIO DO QUINTO";"Presidente";"2";"Eleito";"4725";"0";"6396";"73,87"
"BA";"SOBRADINHO";"Presidente";"2";"Eleito";"10481";"0";"12877";"81,39"
"BA";"SOUTO SOARES";"Presidente";"2";"Eleito";"7036";"0";"8544";"82,35"
"BA";"TABOCAS DO BREJO VELHO";"Presidente";"2";"Eleito";"5431";"0";"6577";"82,58"
"BA";"TANHAÇU";"Presidente";"2";"Eleito";"7527";"0";"12557";"59,94"
"BA";"TANQUE NOVO";"Presidente";"2";"Eleito";"6748";"0";"8758";"77,05"
"BA";"TANQUINHO";"Presidente";"2";"Eleito";"3833";"0";"5032";"76,17"
"BA";"TAPEROÁ";"Presidente";"2";"Eleito";"5763";"0";"8584";"67,14"
"BA";"TAPIRAMUTÁ";"Presidente";"2";"Eleito";"4928";"0";"6360";"77,48"
"BA";"TEIXEIRA DE FREITAS";"Presidente";"2";"Eleito";"36935";"0";"66439";"55,59"
"BA";"TEODORO SAMPAIO";"Presidente";"2";"Eleito";"3747";"0";"4379";"85,57"
"BA";"TEOFILÂNDIA";"Presidente";"2";"Eleito";"8916";"0";"11308";"78,85"
"BA";"TEOLÂNDIA";"Presidente";"2";"Eleito";"4677";"0";"6888";"67,9"
"BA";"TERRA NOVA";"Presidente";"2";"Eleito";"5002";"0";"6562";"76,23"
"BA";"TREMEDAL";"Presidente";"2";"Eleito";"6597";"0";"9610";"68,65"
"BA";"TUCANO";"Presidente";"2";"Eleito";"19795";"0";"24824";"79,74"
"BA";"UAUÁ";"Presidente";"2";"Eleito";"11866";"0";"14143";"83,9"
"BA";"UBAÍRA";"Presidente";"2";"Eleito";"6799";"0";"10603";"64,12"
"BA";"UBAITABA";"Presidente";"2";"Eleito";"5711";"0";"9600";"59,49"
"BA";"UBATÃ";"Presidente";"2";"Eleito";"5276";"0";"8388";"62,9"
"BA";"UIBAÍ";"Presidente";"2";"Eleito";"6052";"0";"8123";"74,5"
"BA";"UMBURANAS";"Presidente";"2";"Eleito";"3997";"0";"6609";"60,48"
"BA";"UNA";"Presidente";"2";"Eleito";"5922";"0";"9719";"60,93"
"BA";"URANDI";"Presidente";"2";"Eleito";"7500";"0";"8540";"87,82"
"BA";"URUÇUCA";"Presidente";"2";"Eleito";"6393";"0";"11587";"55,17"
"BA";"UTINGA";"Presidente";"2";"Eleito";"6674";"0";"8427";"79,2"
"BA";"VALENÇA";"Presidente";"2";"Eleito";"26244";"0";"41047";"63,94"
"BA";"VALENTE";"Presidente";"2";"Eleito";"8366";"0";"13795";"60,65"
"BA";"VÁRZEA DA ROÇA";"Presidente";"2";"Eleito";"5315";"0";"6981";"76,14"
"BA";"VÁRZEA DO POÇO";"Presidente";"2";"Eleito";"3221";"0";"4553";"70,74"
"BA";"VÁRZEA NOVA";"Presidente";"2";"Eleito";"4430";"0";"5841";"75,84"
"BA";"VARZEDO";"Presidente";"2";"Eleito";"3473";"0";"5619";"61,81"
"BA";"VERA CRUZ";"Presidente";"2";"Eleito";"16790";"0";"20600";"81,5"
"BA";"VEREDA";"Presidente";"2";"Eleito";"2869";"0";"4092";"70,11"
"BA";"VITÓRIA DA CONQUISTA";"Presidente";"2";"Eleito";"82827";"95";"167698";"49,45"
"BA";"WAGNER";"Presidente";"2";"Eleito";"2935";"0";"4240";"69,22"
"BA";"WANDERLEY";"Presidente";"2";"Eleito";"5179";"0";"6871";"75,37"
"BA";"WENCESLAU GUIMARÃES";"Presidente";"2";"Eleito";"6997";"0";"10173";"68,78"
"BA";"XIQUE-XIQUE";"Presidente";"2";"Eleito";"16809";"0";"22597";"74,39"
"CE";"ABAIARA";"Presidente";"2";"Eleito";"4433";"0";"4994";"88,77"
"CE";"ACARAPE";"Presidente";"2";"Eleito";"6571";"0";"8336";"78,83"
"CE";"ACARAÚ";"Presidente";"2";"Eleito";"24144";"0";"29173";"82,76"
"CE";"ACOPIARA";"Presidente";"2";"Eleito";"24346";"0";"27492";"88,56"
"CE";"AIUABA";"Presidente";"2";"Eleito";"6488";"0";"7207";"90,02"
"CE";"ALCÂNTARAS";"Presidente";"2";"Eleito";"5233";"0";"6159";"84,97"
"CE";"ALTANEIRA";"Presidente";"2";"Eleito";"3446";"0";"4169";"82,66"
